ID	ProteinID	Function 	Localization
33	Q01628	IFN-induced antiviral protein which disrupts intracellular cholesterol homeostasis. Inhibits the entry of viruses to the host cell cytoplasm by preventing viral fusion with cholesterol depleted endosomes. May inactivate new enveloped viruses which buds out of the infected cell, by letting them go out with a cholesterol depleted membrane. Active against multiple viruses, including influenza A virus, SARS coronaviruses (SARS-CoV and SARS-CoV-2), Marburg virus (MARV), Ebola virus (EBOV), Dengue virus (DNV), West Nile virus (WNV), human immunodeficiency virus type 1 (HIV-1), hepatitis C virus (HCV) and vesicular stomatitis virus (VSV) (PubMed:26354436, PubMed:33239446, PubMed:33270927). Can inhibit: influenza virus hemagglutinin protein-mediated viral entry, MARV and EBOV GP1,2-mediated viral entry, SARS-CoV and SARS-CoV-2 S protein-mediated viral entry and VSV G protein-mediated viral entry (PubMed:33270927). Plays a critical role in the structural stability and function of vacuolar ATPase (v-ATPase). Establishes physical contact with the v-ATPase of endosomes which is critical for proper clathrin localization and is also required for the function of the v-ATPase to lower the pH in phagocytic endosomes thus establishing an antiviral state. In hepatocytes, IFITM proteins act in a coordinated manner to restrict HCV infection by targeting the endocytosed HCV virion for lysosomal degradation (PubMed:26354436). IFITM2 and IFITM3 display anti-HCV activity that may complement the anti-HCV activity of IFITM1 by inhibiting the late stages of HCV entry, possibly in a coordinated manner by trapping the virion in the endosomal pathway and targeting it for degradation at the lysosome (PubMed:26354436). Exerts opposing activities on SARS-CoV-2, including amphipathicity-dependent restriction of virus at endosomes and amphipathicity-independent enhancement of infection at the plasma membrane (PubMed:33270927)	Cell membrane
34	P16144	Integrin alpha-6/beta-4 is a receptor for laminin. Plays a critical structural role in the hemidesmosome of epithelial cells. Is required for the regulation of keratinocyte polarity and motility. ITGA6:ITGB4 binds to NRG1 (via EGF domain) and this binding is essential for NRG1-ERBB signaling (PubMed:20682778). ITGA6:ITGB4 binds to IGF1 and this binding is essential for IGF1 signaling (PubMed:22351760). ITGA6:ITGB4 binds to IGF2 and this binding is essential for IGF2 signaling (PubMed:28873464)	Cell membrane
35	P05556	Integrins alpha-1/beta-1, alpha-2/beta-1, alpha-10/beta-1 and alpha-11/beta-1 are receptors for collagen. Integrins alpha-1/beta-1 and alpha-2/beta-2 recognize the proline-hydroxylated sequence G-F-P-G-E-R in collagen. Integrins alpha-2/beta-1, alpha-3/beta-1, alpha-4/beta-1, alpha-5/beta-1, alpha-8/beta-1, alpha-10/beta-1, alpha-11/beta-1 and alpha-V/beta-1 are receptors for fibronectin. Alpha-4/beta-1 recognizes one or more domains within the alternatively spliced CS-1 and CS-5 regions of fibronectin. Integrin alpha-5/beta-1 is a receptor for fibrinogen. Integrin alpha-1/beta-1, alpha-2/beta-1, alpha-6/beta-1 and alpha-7/beta-1 are receptors for lamimin. Integrin alpha-6/beta-1 (ITGA6:ITGB1) is present in oocytes and is involved in sperm-egg fusion (By similarity). Integrin alpha-4/beta-1 is a receptor for VCAM1. It recognizes the sequence Q-I-D-S in VCAM1. Integrin alpha-9/beta-1 is a receptor for VCAM1, cytotactin and osteopontin. It recognizes the sequence A-E-I-D-G-I-E-L in cytotactin. Integrin alpha-3/beta-1 is a receptor for epiligrin, thrombospondin and CSPG4. Alpha-3/beta-1 may mediate with LGALS3 the stimulation by CSPG4 of endothelial cells migration. Integrin alpha-V/beta-1 is a receptor for vitronectin. Beta-1 integrins recognize the sequence R-G-D in a wide array of ligands. When associated with alpha-7 integrin, regulates cell adhesion and laminin matrix deposition. Involved in promoting endothelial cell motility and angiogenesis. Involved in osteoblast compaction through the fibronectin fibrillogenesis cell-mediated matrix assembly process and the formation of mineralized bone nodules. May be involved in up-regulation of the activity of kinases such as PKC via binding to KRT1. Together with KRT1 and RACK1, serves as a platform for SRC activation or inactivation. Plays a mechanistic adhesive role during telophase, required for the successful completion of cytokinesis. Integrin alpha-3/beta-1 provides a docking site for FAP (seprase) at invadopodia plasma membranes in a collagen-dependent manner and hence may participate in the adhesion, formation of invadopodia and matrix degradation processes, promoting cell invasion. ITGA4:ITGB1 binds to fractalkine (CX3CL1) and may act as its coreceptor in CX3CR1-dependent fractalkine signaling (PubMed:23125415, PubMed:24789099). ITGA4:ITGB1 and ITGA5:ITGB1 bind to PLA2G2A via a site (site 2) which is distinct from the classical ligand-binding site (site 1) and this induces integrin conformational changes and enhanced ligand binding to site 1 (PubMed:18635536, PubMed:25398877). ITGA5:ITGB1 acts as a receptor for fibrillin-1 (FBN1) and mediates R-G-D-dependent cell adhesion to FBN1 (PubMed:12807887, PubMed:17158881). ITGA5:ITGB1 acts as a receptor for fibronectin FN1 and mediates R-G-D-dependent cell adhesion to FN1 (PubMed:33962943). ITGA5:ITGB1 is a receptor for IL1B and binding is essential for IL1B signaling (PubMed:29030430). ITGA5:ITGB3 is a receptor for soluble CD40LG and is required for CD40/CD40LG signaling (PubMed:31331973). Plays an important role in myoblast differentiation and fusion during skeletal myogenesis (By similarity). ITGA9:ITGB1 may play a crucial role in SVEP1/polydom-mediated myoblast cell adhesion (By similarity). Integrins ITGA9:ITGB1 and ITGA4:ITGB1 repress PRKCA-mediated L-type voltage-gated channel Ca(2+) influx and ROCK-mediated calcium sensitivity in vascular smooth muscle cells via their interaction with SVEP1, thereby inhibit vasocontraction (PubMed:35802072)	Cell membrane
36	Q14699	Involved in protein trafficking via association with clathrin and AP2 complex (PubMed:21266579, PubMed:27022195). Upon bacterial lipopolysaccharide stimulation, mediates internalization of TLR4 to endosomes in dendritic cells and macrophages; and internalization of poly(I:C) to TLR3-positive endosomes in myeloid dendritic cells and epithelial cells; resulting in activation of TICAM1-mediated signaling and subsequent IFNB1 production (PubMed:21266579, PubMed:27022195). Involved in T-cell antigen receptor-mediated signaling by regulating tyrosine kinase LCK localization, T-cell dependent antibody production and cytokine secretion (By similarity). May regulate B-cell antigen receptor-mediated signaling (PubMed:12805216). May play a pivotal role in the formation and/or maintenance of lipid rafts (PubMed:12805216)	Cell membrane
37	Q9GZM5	Involved in the maintenance of the Golgi structure. May play a role in hematopoiesis	Cell membrane
38	O75762	Ligand-activated Ca(2+)-permeable, nonselective cation channel involved in pain detection and possibly also in cold perception, oxygen concentration perception, cough, itch, and inner ear function (PubMed:17259981, PubMed:21195050, PubMed:21873995, PubMed:23199233, PubMed:25389312, PubMed:33152265). Has a relatively high Ca(2+) selectivity, with a preference for divalent over monovalent cations (Ca(2+) > Ba(2+) > Mg(2+) > NH4(+) > Li(+) > K(+)), the influx of cation into the cytoplasm leads to membrane depolarization (PubMed:19202543, PubMed:21195050). Has a central role in the pain response to endogenous inflammatory mediators, such as bradykinin and to a diverse array of irritants. Activated by a large variety of structurally unrelated electrophilic and non-electrophilic chemical compounds, such as allylthiocyanate (AITC) from mustard oil or wasabi, cinnamaldehyde, diallyl disulfide (DADS) from garlic, and acrolein, an environmental irritant (PubMed:20547126, PubMed:25389312, PubMed:27241698, PubMed:30878828). Electrophilic ligands activate TRPA1 by interacting with critical N-terminal Cys residues in a covalent manner (PubMed:17164327, PubMed:27241698, PubMed:31866091, PubMed:32641835). Non-electrophile agonists bind at distinct sites in the transmembrane domain to promote channel activation (PubMed:33152265). Also acts as an ionotropic cannabinoid receptor by being activated by delta(9)-tetrahydrocannabinol (THC), the psychoactive component of marijuana (PubMed:25389312). May be a component for the mechanosensitive transduction channel of hair cells in inner ear, thereby participating in the perception of sounds (By similarity)	Cell membrane
39	Q9H5V8	May be involved in cell adhesion and cell matrix association. May play a role in the regulation of anchorage versus migration or proliferation versus differentiation via its phosphorylation. May be a novel marker for leukemia diagnosis and for immature hematopoietic stem cell subsets. Belongs to the tetraspanin web involved in tumor progression and metastasis	Cell membrane
40	Q8IYJ3	May play a role in vesicle trafficking (By similarity). Binds phosphatidylinositol 3,4,5-trisphosphate. Acts as a RAB27A effector protein and may play a role in cytotoxic granule exocytosis in lymphocytes (By similarity)	Cell membrane
41	Q9UP95	Mediates electroneutral potassium-chloride cotransport when activated by cell swelling (PubMed:35759661). May contribute to cell volume homeostasis in single cells (PubMed:10913127, PubMed:34031912). May be involved in the regulation of basolateral Cl(-) exit in NaCl absorbing epithelia (By similarity)	Cell membrane
42	P33527	Mediates export of organic anions and drugs from the cytoplasm (PubMed:10064732, PubMed:11114332, PubMed:16230346, PubMed:7961706, PubMed:9281595). Mediates ATP-dependent transport of glutathione and glutathione conjugates, leukotriene C4, estradiol-17-beta-o-glucuronide, methotrexate, antiviral drugs and other xenobiotics (PubMed:10064732, PubMed:11114332, PubMed:16230346, PubMed:7961706, PubMed:9281595). Confers resistance to anticancer drugs by decreasing accumulation of drug in cells, and by mediating ATP- and GSH-dependent drug export (PubMed:9281595). Hydrolyzes ATP with low efficiency (PubMed:16230346). Catalyzes the export of sphingosine 1-phosphate from mast cells independently of their degranulation (PubMed:17050692). Participates in inflammatory response by allowing export of leukotriene C4 from leukotriene C4-synthesizing cells (By similarity). Mediates ATP-dependent, GSH-independent cyclic GMP-AMP (cGAMP) export (PubMed:36070769). Thus, by limiting intracellular cGAMP concentrations negatively regulates the cGAS-STING pathway (PubMed:36070769). Exports S-geranylgeranyl-glutathione (GGG) in lymphoid cells and stromal compartments of lymphoid organs. ABCC1 (via extracellular transport) with GGT5 (via GGG catabolism) establish GGG gradients within lymphoid tissues to position P2RY8-positive lymphocytes at germinal centers in lymphoid follicles and restrict their chemotactic transmigration from blood vessels to the bone marrow parenchyma (By similarity). Mediates basolateral export of GSH-conjugated R- and S-prostaglandin A2 diastereomers in polarized epithelial cells (PubMed:9426231)	Cell membrane
